attraction,attraction_type,address,lat,lon,Description
Jeni’s Splendid Ice Creams,Restaurant (Food),"1954 Hillhurst Ave, Los Angeles, CA 90027",34.106991,-118.287234,Our favorite gourmet ice cream spot! Make sure you enjoy some samples before ordering!
Jeni’s Splendid Ice Creams,Restaurant (Food),"4751 Commons Way Suite A, Calabasas, CA 91302",34.153038,-118.645453,Our favorite gourmet ice cream spot! Make sure you enjoy some samples before ordering!
Jeni’s Splendid Ice Creams,Restaurant (Food),"123 N Larchmont Blvd, Los Angeles, CA 90004",34.073771,-118.323986,Our favorite gourmet ice cream spot! Make sure you enjoy some samples before ordering!
Republic of Pie,Restaurant (Food),"11118 W Magnolia Blvd, North Hollywood, CA 91601",34.164981,-118.373173,"Laid-back café in the North Hollywood Arts District with comfortable seating, delicious pie, coffee, and high-quality live music most nights of the week."
Groundwork Coffee Co. ,Restaurant (Food),"189 The Grove Dr, Los Angeles, CA 90036",34.072857,-118.359024,Best coffee chain in LA! They also serve salads and sandwiches.
Groundwork Coffee Co. ,Restaurant (Food),"1501 N Cahuenga Blvd, Los Angeles, CA 90028",34.097193,-118.329751,Best coffee chain in LA! They also serve salads and sandwiches.
Groundwork Coffee Co. ,Restaurant (Food),"671 Rose Avenue, Venice, CA 90291",33.999906,-118.471886,Best coffee chain in LA! They also serve salads and sandwiches.
Groundwork Coffee Co. ,Restaurant (Food),"11275 Chandler Blvd, North Hollywood, CA 91601",34.168238,-118.380562,Best coffee chain in LA! They also serve salads and sandwiches.
Davey Wayne’s,Bar (Drinks),"1611 N El Centro Ave, Los Angeles, CA 90028",34.100256,-118.323968,"A 70’s-themed bar with outdoor seating, fun décor, and the occasional live entertainment. (Pro tip: Arrive before 9 pm to avoid the line)"
No Vacancy ,Bar (Drinks),"1727 N Hudson Ave, Los Angeles, CA 90028",34.10232,-118.33253,A unique speak-easy type bar. No Googling before you go!
Angel City Brewery,Bar (Drinks),"216 Alameda St, Los Angeles, CA 90012",34.04627,-118.237693,"Large brewery with great selection of beers, food trucks, games, and an open lay-out. Walk around the Arts District or to nearby Little Tokyo for great art and shopping."
Arts District Brewing Co. ,Bar (Drinks),"828 Traction Ave, Los Angeles, CA 90013",34.044518,-118.23526,"Fun brewery with lots of beers to choose from, plus darts and Skeeball."
Black Market Liquor Bar,Bar (Drinks),"11915 Ventura Blvd, Studio City, CA 91604",34.14326,-118.391134,Popular bar for delicious specialty cocktails and shareable plates.
Rosenthal Wine Bar & Patio,Bar (Drinks),"18741 Coast Hwy, Malibu, CA 90265",34.039291,-118.583328,"Winery located right on Highway 1 (Pacific Coast Highway) with food trucks, live music, and cozy outdoor seating."
The Satellite,Bar (Drinks),"1717 Silver Lake Blvd, Los Angeles, CA 90026",34.08989,-118.268299,Hipster hotspot for drinks and dancing on Saturday nights. Free before 10pm and only $5 after 10pm!
Hollywood Sign Viewpoint at Lake Hollywood Park,Activity,"3160 Canyon Lake Dr, Los Angeles, CA 90068",34.126697,-118.326493,For those looking for the perfect photo with the famous Hollywood sign without having to hike to get it!
Griffith Park/Observatory ,Activity,"2800 E Observatory Rd, Los Angeles, CA 90027",34.118434,-118.300318,"Quintessential LA sight-seeing spot with free admission, planetarium shows, other science exhibits, and panoramic views of Los Angeles. Go during the week for less crowds and right before sunset for the best photo opportunities! Closed on Mondays."
Getty Villa,Activity,"17985 Coast Hwy, Pacific Palisades, CA 90272",34.045832,-118.564947,"Beautiful seaside villa that houses an extensive collection of Ancient Greek/Roman art. Free admission, but make sure to reserve a ticket ahead of time here. Closed on Tuesdays."
Getty Center ,Activity,"1200 Getty Center Dr, Los Angeles, CA 90049",34.077965,-118.474106,"Large collection of art, but worth the trip even if you’re not an art-lover because of the sprawling grounds/gardens, stunning architecture, and amazing views of LA. Free admission (besides parking). Closed on Mondays."
LACMA/La Brea Tar Pits,Activity,"5801 Wilshire Blvd, Los Angeles, CA 90036",34.063807,-118.355413,"Art museum with the famous lamppost installation outside and lots of food trucks across the street. Also located next to the La Brea Tar Pits – a kid-friendly science museum showcasing fossils found in the area where the grounds are free to walk, picnic, and more."
Melrose Trading Post,Activity,"7850 Melrose Ave, Los Angeles, CA 90046",34.083279,-118.36061,"Upscale flea market that happens every Sunday ($3 admission) full of local artists and artisans, food, and live music. (Pro tip: Parking can be difficult, so consider using Uber or Lyft to get there)"
Santa Monica Pier,Activity,"200 Santa Monica Pier A, Santa Monica, CA 90401",34.01012,-118.496219,Famous LA landmark – a must-see for first-time visitors to Los Angeles!
Universal Studios/City Walk,Activity,"100 Universal City Plaza, Universal City, CA 91608",34.138108,-118.353357,"One of our favorite places in LA! The amusement park has rides and shows for the whole family – our favorites are Water World, the Studio Tour, The Mummy, and the Wizarding World of Harry Potter. Lots of shops and restaurants at City Walk if you’d rather save some money and not visit the park itself. (Pro tip: Save money on parking by parking at North Hollywood train station and riding one stop to Universal City)"
Amoeba Music,Activity,"6400 Sunset Blvd, Los Angeles, CA 90028",34.097693,-118.329124,"Must-stop for music lovers! Giant record store in the heart of Hollywood with vinyl, CDs, DVDs, and more."
Runyon Canyon,Activity,"2000 N Fuller Ave, Los Angeles, CA 90046",34.110601,-118.350582,Popular hiking trails/dog park located right in the famous Hollywood Hills. Also popular for celebrity sightings!
TCL Chinese Theater/Hollywood Walk of Fame,Activity,"6925 Hollywood Blvd, Hollywood, CA 90028",34.102001,-118.341055,"Famous historical theater located in the heart of the Walk of Fame. See a movie here in IMAX, or just check out all the handprints left by Hollywood stars as you follow the Walk of Fame down Hollywood Blvd."
California Science Center,Activity,"700 Exposition Park Dr, Los Angeles, CA 90037",34.015821,-118.286119,A science and technology museum great for the whole family. Admission is free to all four of the museum's permanent exhibits. 
